Date,StepCount,Distance_m_,AverageSpeed_m_s_,MaxSpeed_m_s_,MinSpeed_m_s_,MoveMinutesCount,CyclingDuration_ms_,InactiveDuration_ms_,WalkingDuration_ms_,RunningDuration_ms_,RoadBikingDuration_ms_,Month
28-Nov-2020,12536,6509.228289,3.911250041,31.88613319,0.56790036,NaN,2288383,70661204,9921486,NaN,NaN,November
29-Nov-2020,13727,9689.237157,1.50567917,29.79767036,0.510281026,NaN,951977,71115355,10009047,NaN,NaN,November
30-Nov-2020,10275,5345.966245,1.776110535,5.000489712,0.569287241,NaN,NaN,74194167,7844829,236400,NaN,November
01-Dec-2020,10190,5752.497084,1.133801531,5.387843132,0.522344947,NaN,NaN,74680073,7113213,NaN,NaN,December
02-Dec-2020,4208,1092.263338,1.507919586,20.99356651,0.555500269,NaN,NaN,79845877,2947521,NaN,NaN,December
03-Dec-2020,5667,2060.718674,2.106961898,15.42157555,0.529394805,NaN,NaN,78958668,4552223,NaN,NaN,December
04-Dec-2020,10224,6017.415372,2.135522532,31.18954849,0.559995353,NaN,NaN,68741622,7763757,NaN,NaN,December
05-Dec-2020,16044,9633.069018,14.42160197,27.34428024,0.520424843,NaN,NaN,72023980,10762907,NaN,NaN,December
06-Dec-2020,8978,7620.99086,6.846836037,24.70426941,0.509741902,NaN,1087204,76045343,6461451,NaN,NaN,December
07-Dec-2020,11329,6400.055799,4.935834087,26.89439201,0.503849864,NaN,NaN,74500500,7687535,NaN,NaN,December
08-Dec-2020,8843,6838.611729,3.325576797,28.96924019,0.507678568,NaN,669325,73476350,5754139,NaN,NaN,December
09-Dec-2020,6899,3119.97846,2.170928035,30.83354568,0.5045228,NaN,NaN,75557986,6499808,NaN,NaN,December
10-Dec-2020,5059,2941.663746,0.765834033,0.765834033,0.765834033,NaN,NaN,82699998,3662729,NaN,NaN,December
11-Dec-2020,8422,6829.20072,5.596786281,19.64351082,0.544072151,NaN,390991,74620309,7497826,NaN,NaN,December
12-Dec-2020,8153,5388.011257,1.439798892,7.140974522,0.507705271,NaN,1114169,76856643,4915282,NaN,NaN,December
13-Dec-2020,11965,7200.813012,1.769116404,10.64148331,0.505032122,NaN,NaN,73795398,7509337,156207,NaN,December
14-Dec-2020,15072,7954.172357,0.926764851,2.432860613,0.522922456,NaN,NaN,73837899,9605052,NaN,NaN,December
15-Dec-2020,7386,4758.593522,1.457216443,28.85730553,0.510905683,NaN,NaN,77389049,5122555,NaN,NaN,December
16-Dec-2020,16426,11494.70097,1.373598989,9.038743973,0.533229291,NaN,NaN,72323193,11134836,203601,NaN,December
17-Dec-2020,6120,3566.436063,1.970001288,28.36095619,0.501199365,NaN,NaN,77046321,5231565,NaN,NaN,December
18-Dec-2020,6577,3792.148118,2.10130914,27.20143509,0.552046299,NaN,NaN,79194511,3542243,NaN,NaN,December
